Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
46011936,小王子,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",,"=""9887732478""","=""9789887732471""",0,4.33,藍出版,Paperback,133,2017,1943,,2019/01/05,"own, gathering-dust, little-prince","own (#1053), gathering-dust (#972), little-prince (#3)",gathering-dust,,,,0,0
18179375,Botswana & Namibia (Lonely Planet Guide),Various,"Various, Various","Alan Murphy, Anthony Ham, Trent Holden, Kate Morgan","=""1741798930""","=""9781741798937""",0,4.04,GeoPlaneta,Paperback,400,2013,2013,,2023/11/28,gathering-dust,gathering-dust (#2337),gathering-dust,,,,0,0
29527796,Caché and MUMPS - Part II,MR Paul Mike Kadow,"Kadow, MR Paul Mike","Deborah Graham, John J. Mitchell","=""1512142336""","=""9781512142334""",0,0.0,CreateSpace Independent Publishing Platform,Paperback,538,2016,,,2024/05/23,gathering-dust,gathering-dust (#2423),gathering-dust,,,,0,0
35222091,"Cloud Foundry: The Definitive Guide: Develop, Deploy, and Scale",Duncan C. E. Winn,"Winn, Duncan C. E.",,"=""149193252X""","=""9781491932520""",0,4.60,O'Reilly Media,Kindle Edition,478,2017,,,2018/11/24,"own, gathering-dust","own (#16), gathering-dust (#65)",gathering-dust,,,,0,0
528694,The Tao of physics: An exploration of the parallels between modern physics and eastern mysticism,Fritjof Capra,"Capra, Fritjof",,"=""0877730784""","=""9780877730781""",0,3.97,distributed in the U.S. by Random House,Paperback,330,1975,1975,,2018/11/24,"own, gathering-dust","own (#13), gathering-dust (#62)",gathering-dust,,,,0,0
441013,Into the Wild,Jon Krakauer,"Krakauer, Jon",,"=""0307387178""","=""9780307387172""",0,4.01,Anchor,Paperback,207,2007,1996,,2018/11/24,"own, gathering-dust","own (#14), gathering-dust (#63)",gathering-dust,,,,0,0
26236946,The Girl with the Dragon Tattoo,Stieg Larsson,"Larsson, Stieg",,"=""014319836X""","=""9780143198369""",0,4.17,Penguin Canada,Paperback,480,2015,2005,,2018/11/24,"own, gathering-dust","own (#12), gathering-dust (#61)",gathering-dust,,,,0,0
1714303,Ringworld,Larry Niven,"Niven, Larry",Rick Sternback,"=""0345288661""","=""9780345288660""",5,3.94,Del Rey,Mass Market Paperback,342,1970,1970,,2018/11/24,own,own (#19),read,,,,1,0
533653,Cloud Atlas,David Mitchell,"Mitchell, David",,"=""0340822775""","=""9780340822777""",5,4.01,Sceptre,Hardcover,531,2004,2004,,2018/11/24,own,own (#23),read,,,,1,0
